DAUID,Population,Employment rate,Area,Total - Structural type of dwelling
35200146,581,44.8,69139.31977554699,165.0
35200147,461,68.4,135863.23672636016,140.0
35200148,452,50.7,125720.06756745641,120.0
35200149,422,64.9,93806.3445371596,130.0
35200150,1417,36.8,101889.22863339579,430.0
35200161,675,51.5,83377.83981977419,190.0
35200162,787,66.2,92410.61482369993,200.0
35200163,705,59.0,174382.98227104518,200.0
35200164,232,57.1,81095.93991465152,75.0
35200165,521,64.3,108835.17545822736,155.0
35200166,901,61.9,205826.60421785802,260.0
35200167,1392,55.0,308612.778388145,395.0
35200173,425,55.7,55270.035785830034,125.0
35200174,662,65.8,103609.7694232053,185.0
35200175,710,61.7,199534.6486339611,205.0
35200176,469,55.4,56705.04038613461,135.0
35200177,423,66.2,324522.1311191332,115.0
35200178,599,62.1,107932.77942720585,180.0
35200180,640,58.1,127531.6169958983,160.0
35200181,405,47.9,55330.466936662975,125.0
35200182,438,61.8,46530.30383573106,130.0
35200183,569,52.1,133541.3173317464,160.0
35200186,649,55.5,87481.69030574715,205.0
35200187,560,61.4,86627.82957795933,165.0
35200188,955,60.1,64178.09291792227,270.0
35200189,512,50.6,113401.58714491218,155.0
35200190,415,43.6,90342.5390609467,135.0
35200193,403,53.4,154533.84671894214,140.0
35200196,589,54.1,314091.2835587741,195.0
35200197,407,59.4,107027.04408304497,120.0
35200198,440,45.9,128666.33135497507,145.0
35200199,741,62.0,175720.7302267566,235.0
35200200,547,54.9,196196.28724240907,165.0
35200201,578,62.4,142384.39796440012,170.0
35200202,589,60.4,196227.6855040848,185.0
35200203,635,65.1,205541.55611198896,195.0
35200204,670,59.0,129195.86054992447,185.0
35200205,543,51.5,105229.74609755719,155.0
35200206,507,52.9,146864.55882222712,150.0
35200207,248,47.8,72457.12400707974,80.0
35200208,482,53.2,117963.62965638496,145.0
35200209,469,60.8,61996.46224754976,125.0
35200210,506,39.8,175521.49945974714,160.0
35200211,474,62.3,57834.40528255667,140.0
35200212,415,64.1,100204.29750485673,115.0
35200213,596,60.4,183600.6909665204,175.0
35200214,694,42.0,189895.36587502665,215.0
35200215,429,42.3,179529.24944771262,155.0
35200216,703,53.6,275626.1668109662,200.0
35200217,469,57.3,138155.3260063662,150.0
35200218,612,55.2,502504.4284874703,190.0
35200219,492,65.1,150273.1055259581,155.0
35200220,455,58.1,233201.83306841052,150.0
35200221,1208,49.0,798910.3547442119,385.0
35200222,827,46.5,68644.5010369469,350.0
35200223,408,47.9,110020.17840193507,140.0
35200224,800,49.3,193479.02635228643,250.0
35200232,644,67.0,64216.660494834876,280.0
35200233,390,54.7,126808.25771222262,125.0
35200234,453,41.0,90908.366272543,145.0
35200235,399,62.7,159850.58299395203,135.0
35200236,404,43.1,95427.89273430157,135.0
35200237,408,57.1,82705.40974892522,135.0
35200238,353,57.4,258070.22810913937,110.0
35200239,280,48.8,81525.27466663398,85.0
35200242,453,53.3,139569.89055125994,135.0
35200243,426,54.3,102226.44649397198,135.0
35200244,392,60.0,99552.67892478382,120.0
35200245,787,67.4,99408.75031405935,235.0
35200246,413,53.0,116056.62323152981,145.0
35200249,545,51.5,93228.75475807482,220.0
35200250,477,53.3,87354.59641645946,145.0
35200251,323,31.0,93144.31948467293,100.0
35200252,579,46.0,145855.87438632964,190.0
35200253,748,50.5,255768.75844070516,215.0
35200254,796,62.7,274259.4540500988,255.0
35200255,529,59.3,227020.06631669917,180.0
35200256,636,50.9,114143.61642931704,255.0
35200260,480,44.4,149965.1827209511,175.0
35200261,543,56.6,99414.6561567105,175.0
35200262,572,58.4,87611.17900236529,165.0
35200263,363,48.3,84412.38447274716,120.0
35200264,527,59.0,79603.94794957316,155.0
35200265,517,57.1,146952.55303380743,175.0
35200266,608,49.5,157422.00381820975,200.0
35200267,1164,53.5,142420.4086412144,505.0
35200268,536,53.4,45206.25870086847,250.0
35200269,741,62.2,89016.09157539613,265.0
35200270,1348,64.3,1287900.974403281,415.0
35200271,1064,63.2,85260.86295456906,415.0
35200272,1966,55.1,147329.81489132805,630.0
35200273,1373,65.0,45614.5302352752,490.0
35200275,448,54.8,147162.25392350432,155.0
35200278,391,40.6,146829.30425365697,135.0
35200279,574,63.7,154523.7744349539,215.0
35200280,986,57.8,64229.099553854096,360.0
35200281,495,61.1,70836.1940820227,190.0
35200284,928,66.5,47616.743583670876,325.0
35200288,464,73.3,107950.64036235168,150.0
35200289,625,59.0,280767.0324566899,225.0
35200290,541,61.7,179186.7771095923,190.0
35200291,589,55.1,179234.33429990403,210.0
35200292,1032,48.7,181348.15069732282,315.0
35200293,1056,58.3,259415.89114337863,340.0
35200294,465,59.3,204076.77139171315,155.0
35200297,444,67.1,57570.69684207264,150.0
35200298,1060,69.5,212789.95729252332,340.0
35200300,1269,63.1,49868.982529477704,430.0
35200301,432,51.9,178772.14114080573,145.0
35200302,886,50.0,309687.8291566473,285.0
35200303,248,48.8,48681.58182306745,75.0
35200304,741,45.8,241646.890222792,210.0
35200305,648,59.5,176703.8249343844,185.0
35200306,611,66.7,156450.20151493544,190.0
35200307,295,45.6,42929.35909912977,95.0
35200308,577,52.0,247530.81060630296,190.0
35200309,855,62.0,213932.99729067716,270.0
35200310,553,68.0,98037.3117030058,175.0
35200315,1026,33.3,87226.2687457529,525.0
35200316,1593,53.0,44365.59484035481,695.0
35200317,457,43.8,38223.908311161,225.0
35200318,424,72.2,30877.859295188988,140.0
35200319,562,53.8,58029.08517942217,170.0
35200320,989,56.7,73590.3930812989,350.0
35200321,851,53.6,374148.96320805146,275.0
35200322,422,46.3,105860.07788214064,135.0
35200323,1264,48.7,222707.2242912847,360.0
35200324,865,63.3,151319.50748777177,280.0
35200325,331,69.1,31871.778283843596,100.0
35200326,666,49.6,166001.65129271452,200.0
35200327,309,69.4,43988.25598758719,105.0
35200328,401,56.9,145227.46719991628,135.0
35200329,467,54.3,487894.48632873676,150.0
35200330,527,51.1,535124.7348295056,185.0
35200331,424,53.6,132131.0691658852,135.0
35200332,449,60.9,337005.36251078534,180.0
35200333,460,52.3,159904.85459816945,185.0
35200334,442,59.5,133969.10898307164,160.0
35200335,540,49.5,147030.48106654643,160.0
35200336,531,62.2,137263.3330861702,160.0
35200337,429,57.3,129056.63017283005,145.0
35200338,469,48.8,135400.58051615034,155.0
35200339,709,46.2,67729.94538349054,220.0
35200352,376,36.5,62800.73687443155,215.0
35200353,1690,62.0,229983.78405010945,910.0
35200354,5766,71.1,563730.3507738026,3120.0
35200355,517,75.6,182869.76257302763,185.0
35200357,525,57.1,163699.17063685137,160.0
35200358,549,53.7,133825.99490717426,165.0
35200359,497,62.4,132399.95572666134,165.0
35200360,519,52.4,128468.2814753922,155.0
35200361,420,58.6,118049.4414496459,135.0
35200362,585,51.5,153101.27006667937,160.0
35200363,480,66.7,212329.549257101,150.0
35200364,891,51.8,194005.5789626202,320.0
35200366,716,69.6,116280.98649744241,265.0
35200368,320,63.3,71443.07363190304,135.0
35200370,477,62.9,301383.8860769736,150.0
35200371,522,60.0,339249.9167763294,160.0
35200372,383,48.4,176885.7792437621,115.0
35200373,355,60.7,230498.47398009218,115.0
35200374,604,69.4,150747.6439964549,240.0
35200375,287,58.7,32519.187987764595,130.0
35200376,574,59.1,573409.7389979622,170.0
35200377,522,39.2,369090.84691666707,165.0
35200378,322,57.1,125501.66438992809,95.0
35200379,570,61.8,202432.8072467116,170.0
35200380,630,58.4,178372.85301815183,180.0
35200381,1015,59.5,122013.43401394012,410.0
35200382,924,57.2,111789.45698754252,345.0
35200383,606,58.7,134318.1166425584,225.0
35200384,591,57.3,212947.35001284137,180.0
35200385,384,59.7,94650.6909220618,110.0
35200386,812,62.1,466644.58148371667,245.0
35200387,462,57.1,135981.6281207286,145.0
35200388,778,65.6,210403.32451808764,255.0
35200389,905,55.9,1734712.9091698315,305.0
35200391,391,46.5,114790.82720484147,125.0
35200392,403,47.1,99461.70320025593,125.0
35200393,881,56.2,710457.291946714,295.0
35200394,590,64.8,208664.49649784662,195.0
35200395,477,47.5,251007.64177036396,170.0
35200396,485,56.0,143401.59173250498,165.0
35200397,955,50.0,332736.301397674,435.0
35200400,306,50.9,238810.44593868582,100.0
35200401,437,60.5,151817.6510091878,155.0
35200402,455,61.0,142256.79806374572,165.0
35200403,2059,53.9,282338.42637397343,685.0
35200404,475,47.7,51835.22093318052,185.0
35200405,525,63.0,173876.99750296364,155.0
35200406,374,71.6,78081.7143730918,130.0
35200407,414,47.4,131555.3119396383,150.0
35200408,556,61.9,145974.3520513813,180.0
35200409,354,63.8,59922.42755615406,120.0
35200410,1017,63.6,52751.43725729356,360.0
35200411,731,62.1,87587.03302031876,340.0
35200412,1574,69.6,86511.98086470873,595.0
35200413,512,73.2,87577.72233168852,230.0
35200414,1117,65.0,105942.96037800977,350.0
35200415,497,62.2,287728.8002320835,175.0
35200416,480,56.2,182475.09999704047,165.0
35200417,1078,64.7,340586.24295444466,395.0
35200418,1050,52.4,47936.77717657837,435.0
35200420,779,61.3,151922.57311821435,260.0
35200421,346,60.3,70326.1437932814,125.0
35200422,492,56.6,224476.34814302996,180.0
35200423,606,64.5,52715.875588415634,315.0
35200426,454,47.9,87123.99277457598,160.0
35200427,486,53.7,110144.84594060552,180.0
35200428,439,62.0,85059.37579475372,150.0
35200429,533,45.2,50347.34425390666,190.0
35200430,543,47.4,186654.25896022626,180.0
35200431,601,57.0,212690.9183871057,180.0
35200432,371,61.8,122532.43536652598,125.0
35200433,432,45.2,85256.52204705634,145.0
35200434,359,59.4,137020.10975575994,130.0
35200435,393,73.1,115750.24634084874,145.0
35200436,608,49.1,111550.66716209835,295.0
35200437,441,55.4,144674.31301480677,150.0
35200438,599,49.0,200967.9248107588,200.0
35200439,375,40.3,100345.94127180846,135.0
35200440,488,58.5,99041.99934647055,185.0
35200442,455,57.5,63201.634984852295,175.0
35200443,471,48.2,76406.04187516087,200.0
35200444,583,44.0,117656.41518600225,195.0
35200445,471,67.9,231981.9301146805,155.0
35200449,469,54.1,82085.28426784414,170.0
35200450,394,58.0,161333.21049550697,150.0
35200451,304,54.2,76511.97902886542,110.0
35200452,624,56.1,1097615.120867985,220.0
35200453,657,50.0,286239.950079279,245.0
35200454,726,66.2,280874.4935819482,350.0
35200455,409,60.0,119487.53047663612,155.0
35200456,866,76.0,61846.374083407325,480.0
35200459,295,46.8,105111.45420300931,125.0
35200460,505,59.3,34702.471375049165,210.0
35200463,512,44.7,59560.541748753676,290.0
35200464,636,60.6,105787.62616942117,275.0
35200465,649,60.7,134185.32771426067,245.0
35200466,485,50.6,120972.19458843583,180.0
35200467,696,54.8,148652.50741277353,280.0
35200468,593,53.5,854141.4004500493,225.0
35200469,475,51.3,128020.9327706455,205.0
35200470,616,59.8,130731.42283820773,260.0
35200471,1323,65.1,48028.30027324894,645.0
35200472,604,64.4,97957.02098723961,245.0
35200475,482,61.2,228647.70605785033,210.0
35200478,492,66.7,105486.86809674914,200.0
35200479,541,67.0,106471.5989611009,200.0
35200480,399,60.0,91910.38052755492,145.0
35200481,375,67.2,75310.32266553042,140.0
35200482,431,66.2,71359.36471200088,165.0
35200483,434,53.4,101189.70150623743,200.0
35200484,764,55.9,34699.45765273888,305.0
35200488,392,71.4,74661.0055876998,150.0
35200489,347,63.2,36343.328776059556,170.0
35200490,386,80.6,74529.01469929432,130.0
35200491,463,48.6,130523.75278974559,160.0
35200492,285,46.8,60986.42926912381,105.0
35200493,324,69.8,73474.37627158416,110.0
35200494,386,56.5,73860.03451528888,145.0
35200495,429,49.4,169110.18743288956,160.0
35200497,781,50.4,33005.038979275065,205.0
35200498,447,52.6,123238.58217824307,160.0
35200499,1009,47.7,106149.20001510103,355.0
35200505,430,52.3,50796.50790446994,170.0
35200506,444,57.6,69469.15438573825,165.0
35200510,475,52.0,54836.56462816165,180.0
35200511,486,64.4,66328.14791461533,205.0
35200512,441,71.4,58467.26983166072,180.0
35200513,417,66.2,58922.758036258994,175.0
35200514,464,64.0,61787.108132875466,175.0
35200515,506,73.2,107044.80321447385,180.0
35200516,441,55.6,60706.60458158199,185.0
35200517,500,63.2,74107.32377624167,200.0
35200518,477,63.3,53177.21763516037,195.0
35200519,399,52.7,57803.19294387713,185.0
35200520,493,62.1,84636.91582633265,215.0
35200521,610,63.6,88009.63965737766,245.0
35200522,526,52.1,87338.56748577875,230.0
35200523,545,59.3,158065.31076025017,230.0
35200524,477,47.6,115417.56247613803,230.0
35200525,477,59.8,180968.93924822065,165.0
35200529,729,50.4,278123.9031334396,335.0
35200531,629,59.8,166089.64009748728,280.0
35200532,432,55.6,112176.66306454458,175.0
35200533,235,55.6,73105.00706788866,90.0
35200534,523,58.9,163740.18100992666,205.0
35200535,449,68.9,68532.91867681971,205.0
35200536,964,61.8,142507.24200081028,460.0
35200538,2337,52.6,285893.919076929,820.0
35200539,1037,56.3,47688.65543644078,310.0
35200540,437,57.1,13810.605701363682,105.0
35200541,1213,49.0,180417.57750590867,400.0
35200542,516,55.0,22053.062064844893,120.0
35200545,400,0.0,127118.08166903435,200
35200561,728,61.1,714632.3009707747,300.0
35200562,487,66.7,93236.61867908946,210.0
35200563,431,63.4,114522.10647055907,180.0
35200564,522,79.8,99319.51952772324,205.0
35200565,515,59.6,114729.36884011136,205.0
35200566,514,62.6,87693.06504416087,220.0
35200567,569,63.4,96135.02219307635,205.0
35200568,484,59.8,73810.14348427192,195.0
35200569,615,69.9,65865.4138648542,250.0
35200570,450,68.9,50558.58693693972,185.0
35200571,601,67.3,62547.06208784552,250.0
35200572,561,70.7,55902.20924111796,205.0
35200573,511,75.6,63845.29068059476,195.0
35200574,462,59.7,64095.40928364437,195.0
35200575,518,57.3,176348.82740511704,220.0
35200576,679,61.0,131120.02514754175,270.0
35200577,549,66.0,62596.47052306431,215.0
35200578,362,65.1,41394.64742327946,135.0
35200579,683,62.6,85225.22743749265,270.0
35200580,440,67.6,50908.35619293924,170.0
35200581,357,67.7,42513.35687064277,145.0
35200582,792,60.5,90686.80689790969,295.0
35200583,857,62.2,74801.97934229168,355.0
35200584,491,59.8,61515.82505000468,190.0
35200585,459,62.3,39968.376697069325,195.0
35200586,513,64.0,54481.437528986185,215.0
35200587,726,73.8,68249.62452277796,320.0
35200588,828,60.0,99537.53568415418,345.0
35200589,573,72.7,65280.12641934729,270.0
35200590,500,64.6,45968.27537287401,200.0
35200591,506,75.3,77055.24768785237,220.0
35200593,478,72.6,56378.31934887174,195.0
35200594,495,74.1,91007.48015008878,210.0
35200595,457,62.0,43836.78295539772,195.0
35200596,614,67.0,98950.73267587656,260.0
35200597,378,73.3,44696.07929065063,155.0
35200598,455,66.7,68408.90145182119,195.0
35200599,558,57.8,73093.84935926125,250.0
35200600,415,74.3,48581.215410419216,170.0
35200601,390,64.2,57224.50519882516,175.0
35200602,449,70.7,64448.87915399283,175.0
35200603,718,65.0,91258.32689903521,300.0
35200604,609,63.6,66266.17497677745,260.0
35200605,716,69.7,74583.09116278654,290.0
35200606,447,65.5,50871.010803494806,220.0
35200610,269,65.9,34235.73105533644,115.0
35200611,443,70.8,72422.41565096252,185.0
35200612,593,72.0,77248.86468595454,260.0
35200639,381,61.2,78411.52088363415,125.0
35200640,473,56.1,101947.29799840726,170.0
35200641,1033,46.2,28190.382397631427,445.0
35200642,452,71.1,134746.82274156058,170.0
35200643,556,75.8,134118.49786030815,220.0
35200644,473,67.5,322253.7958198226,180.0
35200645,510,64.0,79742.55868022071,200.0
35200646,411,69.7,74590.96776124334,170.0
35200647,357,66.7,79714.28114223441,205.0
35200648,505,54.4,38293.45703503797,305.0
35200649,528,66.7,66275.05028359042,215.0
35200650,632,69.9,95149.56647175492,260.0
35200651,681,66.4,76047.07501572803,275.0
35200652,591,79.1,73807.40368123833,235.0
35200653,405,67.2,45611.80728062305,175.0
35200654,1110,75.3,329786.0357215849,390.0
35200655,534,66.3,86827.49735337397,205.0
35200656,443,37.8,40612.69189878132,265.0
35200657,712,65.8,99738.27019134024,350.0
35200658,546,73.6,199193.8858808651,210.0
35200659,425,76.4,76391.17932003662,155.0
35200660,564,73.3,145088.96829976063,245.0
35200661,740,44.1,31718.61243789299,460.0
35200662,768,75.0,54940.97018038366,360.0
35200663,262,79.5,33178.521501187395,130.0
35200664,694,69.0,76975.09729695205,300.0
35200665,741,60.7,96935.63685411021,335.0
35200666,666,68.7,87862.3309796231,265.0
35200667,466,80.3,44692.2622050605,200.0
35200668,299,84.0,31391.347708237205,140.0
35200669,315,79.6,32871.89520092062,140.0
35200670,513,70.5,52416.25007126842,205.0
35200671,409,84.0,44260.30593575062,185.0
35200672,325,73.1,46031.63216757355,135.0
35200673,489,55.1,28770.768137028248,330.0
35200674,906,75.9,113812.49112737755,470.0
35200675,510,63.1,92024.99901581525,265.0
35200676,521,66.3,86002.5083565629,215.0
35200677,481,69.7,58242.363813903976,190.0
35200678,682,61.8,207060.090618,300.0
35200679,481,90.0,56245.446427449104,200.0
35200680,792,66.7,74493.56247923465,350.0
35200681,513,74.0,58380.60532104288,200.0
35200682,412,57.6,48549.106409163745,170.0
35200683,785,71.8,157815.5338461788,355.0
35200686,1001,57.9,117393.74022679392,415.0
35200687,491,58.0,42050.8352232701,205.0
35200688,477,68.4,67858.84003474674,175.0
35200689,383,68.5,30906.48400570555,155.0
35200690,466,56.9,29823.362352859724,150.0
35200691,325,58.6,30288.49718861117,145.0
35200692,368,53.1,33313.56626291407,135.0
35200693,544,65.6,43241.53394120277,180.0
35200694,645,72.7,90580.67060220992,250.0
35200695,579,63.6,63103.66446959088,250.0
35200696,356,65.6,57168.890953270966,130.0
35200697,592,47.9,34169.53180768784,215.0
35200698,310,67.3,43299.242049017965,120.0
35200699,462,57.8,34342.749778060286,145.0
35200700,338,69.1,24626.44549901969,115.0
35200701,537,61.3,42068.6896044715,215.0
35200702,620,51.0,68218.90534608037,195.0
35200703,673,56.0,100251.38951249818,225.0
35200704,595,44.8,62712.55867774492,295.0
35200705,1035,58.5,69974.23310021072,410.0
35200706,489,70.2,62991.141007596016,180.0
35200707,354,66.7,38759.353292984306,150.0
35200708,482,72.7,150202.6070539749,185.0
35200709,557,67.4,51178.149117402216,210.0
35200710,499,80.0,54740.05463536019,220.0
35200711,432,75.7,68147.73182878691,195.0
35200712,703,65.3,71725.50225984563,300.0
35200713,454,60.2,39473.701019244014,175.0
35200714,394,75.4,43302.58248785297,170.0
35200715,412,75.0,42064.30414073314,160.0
35200716,316,60.0,35492.78018132508,150.0
35200717,462,57.7,44680.48058499281,165.0
35200718,1466,52.1,90821.62675738317,515.0
35200719,897,64.3,313545.6827691376,375.0
35200720,599,55.8,64126.77983293539,225.0
35200724,619,59.6,65134.156509077155,220.0
35200725,659,68.4,68192.51532286915,245.0
35200726,416,59.2,49647.31293436861,150.0
35200727,458,57.8,79856.59276998235,200.0
35200728,793,32.4,75469.3420543875,430.0
35200729,364,60.7,48712.295342235375,135.0
35200730,347,67.7,44712.88711231902,135.0
35200731,416,71.0,49722.04343541333,185.0
35200732,551,74.2,77995.59859586522,235.0
35200733,497,84.4,47821.3119290027,185.0
35200734,389,60.9,42120.52108103782,145.0
35200735,405,77.1,54631.39232614399,170.0
35200736,393,70.5,35607.33882847495,140.0
35200737,369,72.1,70712.13991895018,160.0
35200738,437,67.6,48698.87752714778,150.0
35200739,584,70.3,63319.40560036438,295.0
35200740,544,71.4,80104.26068833051,190.0
35200741,670,52.9,81234.33816535144,425.0
35200744,868,74.8,214647.83296174664,450.0
35200745,647,54.2,309395.8212517414,400.0
35200746,860,64.3,1517349.511408176,305.0
35200747,537,65.1,488326.24026026274,185.0
35200748,604,71.7,108248.90800799793,230.0
35200749,509,66.2,110773.96451677637,165.0
35200750,493,62.8,126557.37545115837,155.0
35200751,530,63.5,287544.32340762473,175.0
35200752,370,52.4,142590.0679325215,180.0
35200753,615,56.9,191252.195344435,260.0
35200754,692,59.1,189442.85948931627,330.0
35200755,435,66.7,25969.067883542157,240.0
35200756,838,67.1,20837.85763115031,580.0
35200768,393,70.0,22593.739962160296,240.0
35200769,492,75.9,24561.644690072844,250.0
35200770,748,70.5,34749.80264643352,335.0
35200771,877,40.9,33099.50383660924,580.0
35200772,462,67.1,42608.17454840847,215.0
35200774,414,,35872.53746504003,110.0
35200782,773,71.9,76260.57366167587,435.0
35200783,507,65.3,21564.658222843762,335.0
35200791,454,48.3,137081.71355099505,280.0
35200792,686,69.2,537576.4910513525,320.0
35200794,519,77.8,66373.99089487187,255.0
35200795,449,66.3,55930.83965159868,220.0
35200796,477,88.2,48827.200801749415,240.0
35200797,452,81.2,55559.09706372983,225.0
35200798,449,72.3,47520.086618534806,245.0
35200802,1210,30.3,61874.85328680065,325.0
35200803,791,45.9,32925.54435402208,210.0
35200804,392,37.5,23450.44657233772,105.0
35200805,2091,39.6,94911.54632715827,555.0
35200806,492,57.5,118896.69857004925,225.0
35200807,156,70.4,27676.374323373293,90.0
35200808,478,77.0,37676.81251634093,265.0
35200809,407,71.7,23354.79308859044,150.0
35200810,529,39.2,21863.517692344507,100.0
35200811,397,42.9,61918.74729230231,145.0
35200812,625,,49719.579713897736,265.0
35200813,413,75.0,35663.271097042176,190.0
35200814,1215,58.8,32014.91924997874,660.0
35200815,555,51.1,29057.373504485913,325.0
35200821,525,87.7,33178.438679310144,280.0
35200822,858,75.8,77040.14622340677,545.0
35200826,1070,69.9,15096.76285500372,600.0
35200827,430,71.4,16024.196601850761,240.0
35200828,574,70.3,16341.17041944133,290.0
35200830,1297,68.1,60162.78783968845,720.0
35200831,548,75.0,21059.957484033424,325.0
35200832,621,77.5,331691.04858563683,345.0
35200833,809,66.2,88681.35016424095,475.0
35200852,1863,89.2,519425.3886081354,1225.0
35200855,548,71.7,472180.8634949946,330.0
35200859,287,64.7,30313.205834371103,155.0
35200860,667,57.8,29174.827749408163,435.0
35200861,518,78.4,59402.740909316875,295.0
35200862,458,69.3,34341.61615155394,195.0
35200863,334,45.0,32099.37004901269,180.0
35200864,480,56.6,81242.1034400567,165.0
35200865,693,55.0,32462.6709269231,210.0
35200866,591,50.0,32365.662034175224,150.0
35200867,1111,26.5,42313.337164917364,515.0
35200868,459,56.1,33239.13094114661,205.0
35200869,701,60.5,46181.681613377485,245.0
35200870,1398,77.1,149209.84250345067,850.0
35200876,486,62.0,60855.46611807496,200.0
35200877,434,66.7,43970.99775422665,185.0
35200878,612,64.9,13641.631778008928,380.0
35200879,448,68.8,41020.340305521146,195.0
35200880,535,71.7,33786.7591194541,220.0
35200881,394,63.2,34865.48521501912,145.0
35200882,399,57.7,22340.288217622892,145.0
35200883,463,61.9,41801.76448247832,160.0
35200884,586,51.0,40693.5963957272,200.0
35200885,563,56.9,42150.839178007394,205.0
35200886,773,57.9,62089.98400235349,280.0
35200887,614,72.2,52735.052583740246,260.0
35200888,453,55.1,109973.68767498071,160.0
35200889,535,61.2,39378.19113761708,155.0
35200890,579,72.4,49791.09257853695,220.0
35200891,347,49.2,20290.370890312002,105.0
35200892,644,73.6,67324.23281703427,330.0
35200893,330,61.0,26616.76398601398,120.0
35200894,518,31.9,45404.41504422669,315.0
35200895,551,67.0,53431.75213336943,265.0
35200896,378,66.2,38325.14405829808,200.0
35200897,654,58.0,85099.12826235597,240.0
35200898,584,48.1,36644.6769572057,210.0
35200899,417,,62821.02761535208,165.0
35200900,437,62.5,8645.376362459625,190.0
35200901,422,49.3,48495.97070522447,210.0
35200902,663,52.0,69367.45258589304,365.0
35200903,396,55.4,53245.24500519329,125.0
35200905,460,74.0,79835.35829495266,175.0
35200906,1203,60.8,86980.68948549165,355.0
35200907,447,72.8,39921.10389379739,205.0
35200908,561,77.3,49600.99191960975,240.0
35200909,646,75.7,70725.41911517835,270.0
35200910,590,67.9,41433.48460314545,295.0
35200911,337,79.7,38985.032848779934,165.0
35200912,380,,40201.14236107112,175.0
35200913,632,81.0,60872.062969781815,275.0
35200914,533,64.9,75010.00751270437,230.0
35200915,756,50.4,68474.18006700308,380.0
35200916,535,55.7,68850.88803084198,215.0
35200917,335,82.8,29979.34326016061,150.0
35200918,237,76.2,21548.770308364237,100.0
35200919,443,70.7,34004.56855243788,180.0
35200920,577,71.8,73487.62111176933,225.0
35200921,477,55.6,52817.31948142735,190.0
35200922,560,68.4,64690.25482276325,235.0
35200923,362,65.0,30685.51767518002,170.0
35200924,346,75.4,30285.78781308921,155.0
35200925,375,78.3,43214.745652829166,180.0
35200926,288,62.3,32012.08374006423,125.0
35200927,409,79.4,105057.02641213474,200.0
35200928,344,59.3,29266.63749449433,135.0
35200929,457,65.9,32935.20429722944,170.0
35200930,480,67.5,27968.818306678564,180.0
35200931,449,56.4,34754.66617893406,150.0
35200932,461,60.0,30338.653998001384,135.0
35200933,458,56.0,28200.99732967135,160.0
35200934,577,53.9,41650.18734434702,230.0
35200935,396,55.2,50358.709527563566,135.0
35200936,319,50.0,24159.405125757603,130.0
35200937,394,51.5,28396.35797855522,135.0
35200938,355,57.6,37489.4049444029,135.0
35200939,427,57.9,89044.68462454507,160.0
35200940,263,59.2,24131.696902441414,115.0
35200941,355,64.6,36509.096316698255,125.0
35200942,649,47.6,36740.47912229742,215.0
35200943,252,76.7,29000.78033299525,100.0
35200944,505,53.1,151065.51644353947,175.0
35200945,510,58.2,53684.536616491416,195.0
35200946,463,72.8,31074.424213555016,165.0
35200949,519,69.3,43499.71596673348,220.0
35200950,540,59.6,41906.847180887504,210.0
35200951,670,53.0,48609.42946995616,240.0
35200952,1053,65.9,292528.88368415483,520.0
35200953,245,75.6,20223.886206853167,105.0
35200954,466,54.4,29147.604623735897,160.0
35200955,1368,51.5,81458.29702578453,660.0
35200956,435,69.2,32920.98110424952,155.0
35200957,832,53.8,72206.91027271857,340.0
35200958,396,59.1,83436.03387924083,150.0
35200959,698,64.9,61179.23840756171,240.0
35200960,410,71.9,66294.79669113924,145.0
35200961,470,57.3,41789.97002804331,170.0
35200962,532,66.3,78844.03047757875,190.0
35200963,412,56.2,59173.41174417992,170.0
35200964,1181,71.4,94057.42299843162,575.0
35200965,407,48.6,28600.92309371593,145.0
35200966,433,57.4,29995.953471317454,145.0
35200967,685,66.4,41434.96765188125,245.0
35200969,448,59.5,145379.78613361364,150.0
35200974,859,58.7,96205.05447216975,300.0
35200975,421,55.6,38063.3265987323,140.0
35200976,921,70.1,82692.63700162279,310.0
35200977,594,27.4,54486.97207789294,310.0
35200979,509,67.1,127739.82318613848,180.0
35200981,499,66.2,11777.500597993165,195.0
35200983,375,47.3,8802.16882416437,135.0
35200985,455,63.5,81425.62363466914,190.0
35200986,499,69.5,38148.82310701612,190.0
35200987,554,61.8,81197.13644632333,215.0
35200988,557,78.7,58725.88381117111,235.0
35200989,581,60.2,65859.41165819921,235.0
35200990,539,64.4,64956.130709773206,200.0
35200991,427,70.3,31918.46034915211,165.0
35200992,393,63.6,33016.36626122439,145.0
35200993,317,67.3,27576.16313369047,120.0
35200994,624,61.0,55757.382768662086,230.0
35200995,336,66.0,50079.35923339504,115.0
35200996,363,71.2,29658.14907509338,135.0
35200997,664,66.4,81710.9450030654,265.0
35200998,493,55.6,40465.86040848897,165.0
35200999,562,55.7,78770.43776701944,210.0
35201000,780,62.1,69411.92924892402,275.0
35201001,598,58.8,45279.586758393394,205.0
35201002,622,61.8,44256.30783321916,225.0
35201003,580,57.3,44938.46720822358,195.0
35201004,365,62.1,42790.298316155575,120.0
35201005,570,,42976.028071128596,185.0
35201006,608,40.4,43708.01416789791,275.0
35201007,409,58.2,37186.56215110337,155.0
35201008,435,71.2,37660.79138630841,165.0
35201009,402,72.2,37745.24370937716,165.0
35201010,689,60.3,71728.05258513812,285.0
35201011,334,69.1,59885.305510733175,130.0
35201012,425,60.8,33465.40832091796,155.0
35201013,371,67.2,34009.82131591016,140.0
35201014,623,58.5,57858.79398768251,245.0
