id,DAUID,Division code,Division name,Population,Total population 15 years and over by labour force activity,Employed,Unemployed,Employment rate,Unemployment rate
923,35190923,3519,York,518.0,455.0,295.0,10.0,64.8,3.3
924,35190924,3519,York,663.0,400.0,290.0,25.0,72.5,7.9
925,35190925,3519,York,289.0,250.0,170.0,10.0,68.0,5.4
926,35190926,3519,York,602.0,405.0,325.0,10.0,80.2,3.0
927,35190927,3519,York,561.0,385.0,185.0,10.0,48.1,5.3
928,35190928,3519,York,505.0,435.0,305.0,0.0,70.1,0.0
929,35190929,3519,York,404.0,330.0,260.0,20.0,78.8,7.1
930,35190930,3519,York,554.0,455.0,330.0,10.0,72.5,2.9
931,35190931,3519,York,2164.0,1670.0,1020.0,60.0,61.1,5.6
932,35190932,3519,York,432.0,320.0,135.0,10.0,42.2,7.1
933,35190933,3519,York,648.0,470.0,280.0,0.0,59.6,0.0
934,35190934,3519,York,1459.0,1025.0,715.0,50.0,69.8,6.5
935,35190935,3519,York,1245.0,880.0,720.0,15.0,81.8,2.0
936,35190936,3519,York,380.0,285.0,250.0,0.0,87.7,0.0
937,35190937,3519,York,576.0,410.0,310.0,20.0,75.6,6.1
938,35190938,3519,York,573.0,430.0,310.0,0.0,72.1,0.0
